testTypeId,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,cefrLevel,difficulty,testSetId,conversation,article,audioUrl,transcript
listening,A man and a woman are talking about a museum. What does the woman say about the exhibit?,She prefers art museums.,The exhibit was better than she had expected.,She wishes the exhibit had been organized better.,She wants to visit the exhibit again with her family.,B,ผู้หญิงบอกว่าปกติเธอชอบพิพิธภัณฑ์ศิลปะมากกว่า แต่คราวนี้เธอรู้สึกหลงใหลเพราะการจัดแสดงน่าสนใจและทำให้เวลาผ่านไปเร็ว,A2,medium,34,,,/audio/Q1.mp3,"F: My friend and I went to the new show at that science museum downtown.\nM: That's one of my favorite places. What was the exhibit like?\nF: To be honest, I'm generally more of a fan of art museums, but this time I found myself fascinated.\nM: Oh, interesting. Why do you think that was?\nF: It must've been how the show was organized. When I looked at my watch, I couldn't believe two hours had passed."
listening,Two friends are talking about an election. What does the man say he's unsure about?,who he will vote for,whether he will vote,who the candidates are,what positions the candidates have,A,"ผู้ชายบอกว่าเขาไม่แน่ใจว่าจะโหวตให้ใครเหมือนกัน (""I do not know either"") เพราะผู้สมัครแต่ละคนก็มีนโยบายที่เขาชอบ",A2,medium,34,,,/audio/Q2.mp3,"F: I'm not sure who I'll vote for next week. I don't like either candidate.\nM: I don't know either, but my problem is that each candidate has some positions I like.\nF: Maybe we shouldn't vote for either one. Why support someone with a lot of bad ideas.\nM: I have to vote. I think it's a really important responsibility."
listening,A woman is asking where the post office is. The post office is opposite ...,the bank.,the cinema.,the newsagent.,the supermarket.,C,ผู้ชายบอกว่าที่ทำการไปรษณีย์อยู่ฝั่งตรงข้าม (across the road) กับร้านขายหนังสือพิมพ์ (newsagents),A2,medium,34,,,/audio/Q3.mp3,"F: Excuse me, could you tell me where the nearest post office is?\nM: Yes, it's down the high street across the road from the newsagents.\nF: Is it the building next to the shoe shop?\nM: No, that's the cinema. The post office is between the bank and the supermarket."
listening,A man and a woman are talking. Where are they?,in a school,at the dentist's,at a sports centre,at the woman's house,A,"ผู้ชายมารับลูกชาย และผู้หญิงถามว่าจะให้ส่งข้อความไปที่ ""ห้องเรียน (classroom)"" ของเขาไหม แสดงว่าอยู่ที่โรงเรียน",A2,medium,34,,,/audio/Q4.mp3,"F: Can I help you?\nM: I've just come to pick up my son - he's got a dental appointment.\nF: Would you like me to send a note to his classroom?\nM: No, that's OK thanks - his teacher knows.\nF: OK.\nM: I think they've been doing sports, but I'm sure he'll be along in a minute."
listening,A woman is talking about her family life. She says it's ...,noisy.,boring.,difficult.,expensive.,D,"ผู้หญิงบอกว่าการมีลูก 5 คนนั้น ""not cheap"" (ไม่ถูก) ซึ่งตรงกับคำว่า expensive (แพง)",A2,medium,34,,,/audio/Q5.mp3,"M: Have you got a big family?\nF: Yes, I suppose so. Two sons and three daughters.\nM: Five kids! That sounds hard. Is it?\nF: No, not really. It's not cheap, but I'm never bored."
listening,A man and a woman are talking. The woman ...,needs the man's number.,offers the man a job.,wants to get a job.,will call the man.,D,ผู้ชายขอให้ผู้หญิงโทรบอกผล เมื่อได้ข้อสรุป และผู้หญิงตอบตกลงว่าจะโทรหา,A2,medium,34,,,/audio/Q6.mp3,"M: Thanks for meeting with me to talk about the new job.\nF: Thank you, too. We will decide next week.\nM: Great. Could you call to let me know?\nF: Yes, I have your number from your form."
listening,"A man and a woman are talking. Several years ago, they ...",went on the same school trip.,stayed at the same hospital.,worked at the same office.,went to the same college.,D,ผู้หญิงบอกว่าผ่านมาหลายปีแล้วตั้งแต่พวกเขาเรียนวิทยาลัย (college) เดียวกัน,A2,medium,34,,,/audio/Q7.mp3,"M: Oh, hi, Mary, it's great to see you here!\nF: Hi, Dave! Yeah, it's great to see you, too. I didn't know you were coming to the party.\nM: Yeah, I wasn't sure I'd come. But then I decided it would be fun to see all our old school friends again.\nF: Well, I'm glad you did. It's been quite a few years now since we went to the same college. What have you been doing?"
listening,A man and his daughter are talking about pets. The man says that the grey kitten ...,is already sold.,is very healthy.,is an outdoor cat.,is gentle with children.,A,"ผู้ชายบอกว่ามีคนซื้อแมวสีเทาตัวนั้นไปแล้ว (""someone has already bought that one"")",A2,medium,34,,,/audio/Q8.mp3,"M: Look at these kittens, Emma. Which one do you like?\nF: Oh, they are all so cute! What about that little grey one?\nM: The grey kitten is adorable, but it has a lot of energy. It might be better as an outdoor cat. Plus, it's not very gentle when playing.\nF: Is it healthy?\nM: Yes, very healthy. But actually, looking at the sign, it seems that someone has already bought that one. We'll have to pick another."
listening,A woman is leaving a phone message for her friend. What is the woman planning to do tonight?,watch a movie,go to sleep early,buy a birthday gift,work on her project,B,"ผู้หญิงบอกว่าเธอรู้สึกไม่ค่อยสบาย จึงจะกินซุปไก่แล้วเข้านอนเร็ว (""go to bed early"")",A2,medium,34,,,/audio/Q9.mp3,"F: Hi Sue, it's me, Tina. Listen, I know we had plans to watch a movie together at your house, but I don't think I can come. I don't feel too well. I finally finished working on my project, but now I have a headache. I think I will have some chicken soup and then go to bed early. It's nothing serious, but I think I just need some rest."
listening,"A woman is leaving a phone message. This weekend, the woman wants to ...",see a movie.,stay at home.,finish a project.,go to the beach.,D,ผู้หญิงชวนเพื่อนไปเที่ยวทะเล (beach) ในช่วงสุดสัปดาห์ เพราะอากาศน่าจะดี,A2,medium,34,,,/audio/Q10.mp3,"F: Hey, Sue, it's Jane calling. I was hoping to talk to you about this weekend, but I guess you're not home tonight. I had told you I wasn't sure about the weekend because of the work project I needed to finish, but I was able to finish it up early. I thought of just staying home after all the work, or going to a movie, but now I don't know. I feel great about finishing my project, so let's plan something fun. The weather is supposed to be really nice, so how about a trip to the beach?"
