"id","test_type_id","question_text","option_a","option_b","option_c","option_d","correct_answer","explanation","conversation","audio_url","transcript","article","cefr_level","difficulty","active","order_index","created_at","updated_at"
"759","focus-meaning","What does the girl mean?","She isn't hungry.","She will eat later.","She doesn't like sandwiches.","She already made lunch.","A","ผู้หญิงบอกว่าจะทำแซนด์วิชให้ แต่เด็กตอบว่า 'I just ate.' (หนูเพิ่งกินมา) แปลว่าอิ่มแล้ว ไม่ได้หิว จึงตรงกับข้อ She isn't hungry.","[{""name"":""Girl"",""text"":""I'll make you a sandwich for lunch."",""speaker"":""A""},{""name"":""Girl"",""text"":""No thanks. I just ate."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"760","focus-meaning","What does the man mean?","Their dad hasn't saved much money.","Their dad doesn't spend enough money.","Their dad shouldn't have to spend money.","Their dad is angry with them.","C","ผู้ชายบอกว่า 'We shouldn't expect him to pay...' (เราไม่ควรคาดหวังให้พ่อจ่ายค่าตั๋วให้เรานะ) แสดงว่าคิดว่าพ่อไม่ต้องจ่ายเงินให้พวกเขาตรงกับ Their dad shouldn't have to spend money.","[{""name"":""Woman"",""text"":""What's up with Dad these days? He's been pretty tight with his money."",""speaker"":""A""},{""name"":""Man"",""text"":""Yeah, I know, but he's right. We shouldn't expect him to pay for our movie tickets."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"761","focus-meaning","What does the woman mean?","No one told her about the news.","She has nothing else to talk about.","She hears everyone talking about it.","She doesn't believe the news.","C","ผู้หญิงตอบว่า 'No one is talking about anything else.' (ไม่มีใครพูดเรื่องอื่นเลย) หมายความว่าทุกคนพูดกันแต่เรื่องนี้ เธอจึงได้ยินทุกคนคุยกัน (She hears everyone talking about it)","[{""name"":""Man"",""text"":""Did you hear the news about the amazing drop in crime?"",""speaker"":""A""},{""name"":""Woman"",""text"":""No one is talking about anything else."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"762","focus-meaning","What does the woman mean?","Liz can't come to the party.","She didn't ask Liz to come.","She doesn't know Liz very well.","Liz doesn't have a phone.","B","ผู้หญิงบอกว่าเธอไม่รู้เบอร์โทรศัพท์ของ Liz ('I don't know her phone number') แสดงว่าเธอยังไม่ได้ชวน Liz ไปงาน (She didn't ask Liz to come)","[{""name"":""Man"",""text"":""Did you ask Liz to come to the party?"",""speaker"":""A""},{""name"":""Woman"",""text"":""I don't know her phone number."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"763","focus-meaning","What does the man mean by his second comment?","He started his job recently.","He is planning to leave his job.","He needs to work longer hours.","He already got a promotion.","A","ผู้ชายบอกตอบว่า 'too soon for me' (คงยังเร็วไปสำหรับผม) แสดงว่าเขาเพิ่งเข้าทำงานได้ไม่นาน โอกาสเลื่อนตำแหน่งจึงเร็วไป (He started his job recently)","[{""name"":""Man"",""text"":""Do you think you'll get a promotion at work this year?"",""speaker"":""A""},{""name"":""Woman"",""text"":""I think so. Do you?"",""speaker"":""B""},{""name"":""Man"",""text"":""No, it's probably too soon for me."",""speaker"":""A""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"764","focus-meaning","What does the man mean?","I didn't think you would come.","I know you're usually on time.","It's difficult for you to be on time.","You are often late.","B","ผู้ชายบอกว่า 'You're hardly ever late.' (คุณแทบจะไม่เคยสายเลยนะ) หมายความว่าปกติแล้วผู้หญิงมักจะมาตรงเวลาเสมอ (I know you're usually on time)","[{""name"":""Woman"",""text"":""I'm sorry I'm late. There was so much traffic."",""speaker"":""A""},{""name"":""Man"",""text"":""Oh, I was worried! You're hardly ever late."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"765","focus-meaning","What does the man mean by his first comment?","He regularly saw his cousin during the holidays.","He often traveled to his cousin's house.","He wished he could see his cousin.","His cousin lived nearby.","A","ผู้ชายเล่าว่าตอนเด็กๆ ครอบครัวญาติจะมาที่บ้านเสมอช่วงวันหยุดยาว ('would always come over') แปลว่าพวกเขาได้เจอกันเป็นประจำ (He regularly saw his cousin during the holidays)","[{""name"":""Girl"",""text"":""When I was growing up, my cousin's family would always come over to our place for the holidays."",""speaker"":""A""},{""name"":""Woman"",""text"":""I wish I could say the same! Mine lived so far away."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"766","focus-meaning","What does the woman mean?","She often likes to talk about family holidays.","She rarely got to see her cousins on holidays.","She usually traveled long distances.","She doesn't like holidays.","B","ผู้หญิงพูดว่าญาติของเธออยู่ไกลมาก ('Mine lived so far away') เลยทำให้ไม่ค่อยได้เจอญาติในช่วงวันหยุด (She rarely got to see her cousins on holidays)","[{""name"":""Woman"",""text"":""When I was growing up, my cousin's family would always come over to our place for the holidays."",""speaker"":""A""},{""name"":""Man"",""text"":""I wish I could say the same! Mine lived so far away."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"767","focus-meaning","What does the girl mean?","They will start a new study group.","They agree to study together again.","They both need to take the test again.","They don't want to study.","B","ผู้ชายชวนติวอีก ผู้หญิงบอกเห็นด้วย (Great minds think alike!) และชวนติวหลังเลิกเรียน ('How does after class sound?') แปลว่าตกลงที่จะติวด้วยกันอีก","[{""name"":""Girl"",""text"":""I aced that last test, thanks to our study group! Want a repeat?"",""speaker"":""A""},{""name"":""Man"",""text"":""Great minds think alike! How does after class sound?"",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"768","focus-meaning","What does the woman mean?","She decided not to do the work.","She didn't have time to do the work.","She didn't know how to do the work.","She forgot about the work.","B","ผู้หญิงบอกว่าพอจะเริ่มปุ๊บ เสาร์อาทิตย์ก็หมดไปซะแล้ว ('the weekend was over') แปลว่าสรุปคือเธอไม่มีเวลาทำการบ้าน (She didn't have time to do the work)","[{""name"":""Woman"",""text"":""Did you finish all the work you had to do over the weekend?"",""speaker"":""A""},{""name"":""Man"",""text"":""Well, by the time I was ready to start, the weekend was over!"",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"769","focus-meaning","What does the woman mean?","The professor gave useful homework.","The professor was helpful to his students.","The professor presented interesting lecture topics.","The professor was strict.","B","อาจารย์ 'bent over backwards' เป็นสำนวนแปลว่า พยายามช่วยเหลืออย่างเต็มที่ ทั้งยังมีคลาสเสริมให้ด้วย (The professor was helpful to his students)","[{""name"":""A"",""text"":""I hear this professor's class is challenging."",""speaker"":""A""},{""name"":""Teacher"",""text"":""Actually, he really bent over backwards for us with those extra sessions."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"770","focus-meaning","What does the girl mean?","I didn’t want you to borrow the CD.","I didn’t accuse you of borrowing the CD.","I didn’t prevent you from borrowing the CD.","I didn’t lend you the CD.","B","ผู้ชายบอกไม่ได้ยืม CD ผู้หญิงตอบว่า 'I never said you did!' (ฉันไม่เคยพูดเลยนะว่านายยืม!) หมายความว่าเธอไม่ได้กล่าวหาว่าผู้ชายเป็นคนยืมไป","[{""name"":""Girl"",""text"":""I didn’t borrow your new CD!"",""speaker"":""A""},{""name"":""Man"",""text"":""I never said you did!"",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"771","focus-meaning","What does the man mean?","I don’t like talking to you.","I’ll talk to you in five minutes.","I don’t have very long to talk to you.","I cannot talk to you today.","C","ผู้ชายบอกว่าอีก 5 นาทีตัวเองต้องไปแล้ว ('I have to leave in five minutes') แสดงว่าเขามีเวลาคุยด้วยได้อีกไม่นาน (I don't have very long to talk to you)","[{""name"":""Man"",""text"":""Can I talk to you?"",""speaker"":""A""},{""name"":""Person B"",""text"":""Well, I have to leave in five minutes."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
"772","focus-meaning","What does the woman mean?","What’s the time now?","When did the train go?","When will the train go?","Where does the train go?","C","ผู้ชายตอบเวลาว่า 4 โมงเย็น คำถามของผู้หญิงคือ 'What time does the train leave?' แปลว่าผู้หญิงถามเวลารถไฟออกนั่นเอง (When will the train go?)","[{""name"":""Man"",""text"":""Excuse me. What time does the train leave?"",""speaker"":""A""},{""name"":""Woman"",""text"":""At 4 o’clock."",""speaker"":""B""}]",,,,"B1","medium","true","0","2026-04-12 17:37:09.643115","2026-04-12 17:37:09.643115"
