testTypeId,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,cefrLevel,difficulty,testSetId
focus-form,She ___ to school every day.,go,goes,going,gone,B,"Third person singular in present simple adds -s to the verb.",A1,easy,
focus-form,They ___ playing football right now.,is,are,was,were,B,"Present continuous uses 'are' with plural subject 'they'.",A1,easy,
focus-form,He ___ already ___ his homework.,has/finished,have/finished,had/finish,has/finish,A,"Present perfect with 'already' uses has + past participle.",A2,medium,
focus-form,If I ___ rich, I would travel the world.,am,was,were,be,C,"Second conditional uses past tense (were) for hypothetical situations.",B1,medium,
focus-form,The book ___ by a famous author last year.,wrote,was written,has written,is writing,B,Passive voice in past simple: was/were + past participle.,B1,medium,
focus-form,She suggested that he ___ a doctor.,sees,see,saw,seen,B,"Subjunctive mood after 'suggest' uses base form of the verb.",B2,hard,
focus-form,Not until he arrived ___ the meeting start.,does,did,has,will,B,"Inversion with 'not until' uses auxiliary + subject + verb in past simple.",C1,hard,
focus-form,Were they to win the contract, they ___ obliged to expand.,will be,would be,are,have been,B,"Inverted conditional (were + subject + to-infinitive) takes 'would' in main clause.",C1,hard,
focus-form,Hardly had she stepped outside when it ___ to pour.,starts,started,had started,has started,B,"Inversion with 'hardly...when' uses past perfect in the when-clause.",C2,hard,
focus-form,It is imperative that every student ___ the exam on time.,takes,take,took,taking,B,"Mandative subjunctive uses base form 'take' after 'it is imperative that'.",C2,hard,
focus-meaning,"A: What do you usually have for breakfast? B: ___","Toast and coffee.","I go to school.","It's 7 AM.","Yes, I do.",A,"The question asks about food typically eaten in the morning.",A1,easy,
focus-meaning,"A: How do you get to work? B: ___","I start at 9.","By bus.","It's far away.","I like my job.",B,"'How do you get to...' asks about transportation method.",A1,easy,
focus-meaning,"A: What's the matter? B: ___","I'm from Bangkok.","I have a headache.","It's Monday.","Nice to meet you.",B,"'What's the matter?' is used to ask if someone is okay or unwell.",A2,easy,
focus-meaning,"A: Would you mind opening the window? B: ___","Yes, I would.","No, not at all.","I mind it.","Sure, I mind.",B,"'Would you mind?' — agreeing uses 'No' (No, I don't mind = I will do it).",A2,medium,
focus-meaning,"A: I'm thinking of quitting my job. B: ___","That's nice.","You can't.","Are you sure about that?","Where is it?",C,"Responding to a big decision requires checking if the person has thought it through.",B1,medium,
focus-meaning,"A: Can you keep a secret? B: ___","Yes, I keep.","My lips are sealed.","No, I can't keep.","What is it?",B,"'My lips are sealed' is an idiom meaning you won't tell anyone.",B1,medium,
focus-meaning,"A: The project deadline has been moved up. B: ___","That's great news!","That's going to be tight.","When is it?","I don't like deadlines.",B,"'Moved up' means earlier. 'That's going to be tight' acknowledges it will be difficult.",B2,hard,
focus-meaning,"A: She really went out on a limb for us. B: ___","Is she hurt?","Yeah, she took a big risk.","She should be careful.","Let's go outside.",B,"'Go out on a limb' is an idiom meaning to take a risk or make yourself vulnerable.",B2,hard,
