id,question,choice1,choice2,choice3,choice4,anwer word,answer,explanation,Section
1,Waiter: Who asked for eggs and coffee?Customer: I ___ .,did,got,took,made,did,A,,focus on form
2,"Man: Do you ___ an apple?Woman: Yes, please.",want,wants,to want,wanting,want,A,,focus on form
3,Woman: How far is ___ to the bus stop?Man: Only about a five minute walk.,it,that,this,there,it,A,,focus on form
4,"Woman: How far is ___ to Times Square?Man: You only have to walk about 10 blocks, I think.",it,that,there,this,it,A,,focus on form
5,Man: What are you going to do with all of those apples?Woman: I think ___ a cake.Man: What a great idea!,I make,I'll make,I've made,I was making,I'll make,B,,focus on form
6,"Man: Excuse me – where’s the passport office?Woman: It’s down the street ___ the right, next to the park.",by,on,of,at,on,B,,focus on form
7,Man: Did you watch the basketball game last night?Woman: Yes! It was ___ an exciting game.,so,that,very,such,such,D,,focus on form
8,"Woman: Do you want your coffee with ___ without milk?Man: With milk, please.",or,for,but,and,or,A,,focus on form
9,"Teacher: Have you read many novels this year?Student: No, I haven't read ___ .",some,none,few,any,any,D,,focus on form
10,Woman: Look! There's Jack.Man: Wow! I haven't seen him ___ years.,in,from,since,during,in,A,,focus on form
11,"John Jones lives in ___ the United States with his wife, Mary.",at,in,on,to,in,B,,focus on form
12,"John Jones lives in the United States with ___ wife, Mary.",his,her,their,our,his,A,,focus on form
13,"They ___ two children, Sally and Billy.",has,have,had,having,have,B,,focus on form
14,Sally ___ Billy are their children.,but,and,or,because,and,B,,focus on form
15,The Jones family spends a lot ___ time together on the weekends.,for,on,of,with,of,C,,focus on form
16,The family often goes ___ the park.,at,to,in,on,to,B,,focus on form
17,Mary likes to sit ___ a park bench and watch her family.,at,in,on,to,on,C,,focus on form
18,Sometimes she ___ a piece of bread to give to the birds.,take,takes,taking,took,takes,B,,focus on form
19,People do ___ want flies around their houses.,not,no,never,none,not,A,,focus on form
20,The best way to reduce the fly population is ___ find where their food comes from.,for,to,at,by,to,B,,focus on form
21,Their food comes from ___ to remove it.,try,trying,tried,tries,trying,B,,focus on form
22,"___ this doesn't work, you can try hanging clear plastic bags.",Because,If,When,Although,If,B,,focus on form
23,Plastic bags ___ are filled with water hang over the door.,what,who,that,where,that,C,,focus on form
24,Nobody knows exactly ___ this works.,when,what,why,which,why,C,,focus on form
25,"Man: Where’s Billy?Woman: He’s ___ his bedroom, I think.",in,on,under,between,in,A,,focus on form
26,"Man: How many goals ___ scored in the soccer game yesterday?Woman: Only one, I think.",are,were,have been,were being,were,B,,focus on form
27,Man: Do you want to go running or swimming this weekend?Woman: ___ is fine with me.,All,Both,Every,Either,Either,D,,focus on form
28,Girl: Good news. My mother let me ___ at school until five today.Boy: That’s good. We can study for our test together.,stay,stayed,to stay,staying,stay,A,,focus on form
29,"Man: This is ___ great picture.Woman: Yes, it is.",a,the,some,an,a,A,,focus on form
30,"Man: Is this David’s phone?Woman: Yes, it is ___ phone.",him,his,he,himself,his,B,,focus on form
31,"Woman: Do you live with your parents?Man: No, I live by ___.",my own,me,myself,mine,myself,C,,focus on form
32,"Server: Would you like ___ dessert?Customer: No, thank you. I'm full.",some,a,any,the,some,A,,focus on form
33,Woman: Can I borrow a pen?Man: Sorry! I ___ have one.,can’t,won’t,don’t,didn’t,don’t,C,,focus on form
34,Woman: ___ did you get home last night?Man: I got a taxi.,What,When,Where,How,How,D,,focus on form
35,"Man: Are ___ any bananas on the table?Woman: I'm sorry, I ate the last one.",they,this,it,there,there,D,,focus on form
36,"Woman: Please ___ talk on your phone in this area, sir.Man: I'm sorry. I will go outside.",no,not,isn’t,don’t,don’t,D,,focus on form
37,"Man: Where did you go on vacation?Woman: We went to Florida, and we ___ a great time.",did,had,took,made,had,B,,focus on form
38,"Man: Whose is that fantastic car?Woman: Actually, it’s ___.Man: Lucky you.",theirs,mine,yours,hers,mine,B,,focus on form
39,"Woman: I’ll be back in the office early on Monday.Man: Right. ___ a good weekend, then.",get,have,take,make,have,B,,focus on form
40,"Woman: Sorry I didn't make it to the party.Man: What happened?Woman: Oh, I ___ really ill so I couldn’t go.",feel,felt,feels,feeling,felt,B,,focus on form
41,"Man: Are you looking forward ___ your holiday next week?Woman: Yes, I can't wait.",in,to,at,for,to,B,,focus on form
42,Man: Whose is that money on the table?Woman: It’s ___. I forgot that I left it there last night.,his,mine,ours,yours,mine,B,,focus on form
43,"Man: Do you know Teresa?Woman: Yes, I met her a couple of months ___.",ago,past,away,since,ago,A,,focus on form
44,"Boy: Shall we go to the movie tonight?Girl: No, we ___ finish our homework first. It has to be in tomorrow.",might,would,could,should,should,D,,focus on form
45,Girl: What did you give your little brother for his birthday?Boy: A toy train ___ chocolate.,filled,done,made,covered,made,C,,focus on form
46,"Boy: What have you done to your leg?Girl: Oh, I fell over yesterday and it ___ hurts now.",so,very,quite,really,really,D,,focus on form
48,Woman: I can’t afford to go away on holiday this year.Man: What ___ instead?Woman: I'm not quite sure yet.,do you do,will you do,have you do,were you doing,will you do,B,,focus on form
49,Man: Does it cost ___ to fly from London to Edinburgh?Woman: I think it's cheaper if you book on the Internet.,many,much,a few,a lot of,much,B,,focus on form
50,"Man: What do you think of Maria?Woman: Well, she struck me ___ very pleasant.",so,as,for,like,as,B,,focus on form
51,Husband: Has Sam said anything about when I should pick him up from the airport?Wife: Yes. He said ___ you at the airport at five o’clock.,he met,he meets,he’s met,he’d meet,he’d meet,D,,focus on form
52,"Boy: Do you like playing this computer game?Girl: No, ___ boring. Shall we choose something else to play?",they’re,it’s,that’s,this is,it’s,B,,focus on form
53,Woman: How many children ___ you got?Man: Three. Two girls and a boy.,do,did,have,are,have,C,,focus on form
54,"Man: Do you want to come with me to the supermarket?Woman: No, thanks. I don't need ___.",it,something,one,anything,anything,D,,focus on form
55,"Woman: Can I borrow a pen?Man: Sorry, I ___ have one.",didn't,haven't got,won't,don't,don't,D,,focus on form
56,"Girl: Could I ___ your pen for a minute?Boy: Yeah, sure!",borrow,borrowed,lend,lent,borrow,A,,focus on form
57,Boy: Do you eat brown bread?Girl: Not really. I ___ white better.,like,want,prefer,eat,like,A,,focus on form
58,Man: ___ wrong?Woman: I don't feel very well.,How’s,What’s,Are you,What’s the,What’s,B,,focus on form
59,Woman: I always travel by bus.Man: Why?Woman: Because it’s ___ than the train.,much cheaper,as cheap,more cheap,cheap,much cheaper,A,,focus on form
60,"Man: Is Anna here today?Woman: No, ___ at home on Tuesdays.",she is working,she would work,she works,she work,she works,C,,focus on form
61,Woman: ___ do you do?Man: I'm a chef in a French restaurant.,How,Where,What,Whose,What,C,,focus on form
62,Girl: Is Sam ___ than you now?Boy: Yes. He's grown a lot recently.,taller,the tallest,more taller,tall,taller,A,,focus on form
63,Woman: Where did you get that book?Man: Peter gave it to ___ yesterday.,me,my,mine,myself,me,A,,focus on form
64,"Boy: When ___ George start learning Spanish?Girl: About two years ago, I think.",did,will,was,does,did,A,,focus on form
65,"Woman: Would you like another coffee?Man: No thanks, I’ve had ___.",any,some,much,enough,enough,D,,focus on form
66,Girl: What are your plans for the weekend?Boy: I ___ to the cinema with Kirsty.,go,went,will going,am going,am going,D,,focus on form
67,Man: How long have you been in Australia?Woman: Two months.Man: And do you ___ it in Sydney?,like,live,love,stay,like,A,,focus on form
68,Woman: I always look forward to the summer holidays.Man: So ___ I.,do,am,can,have,do,A,,focus on form
69,"Woman: I’m going to the mountains at the weekend, but I haven't got any climbing boots.Man: Oh, do you want to borrow ___?",my,me,mine,mines,mine,C,,focus on form
70,Waiter: Who ordered the soft drink?Man: I did.Waiter: ___ . Enjoy!,Right,Here you are,Who is it?,There,Here you are,B,,focus on form
71,Woman: You look a bit stressed. What’s the matter?Man: I’m worried ___ my job interview next week.,to,for,of,about,about,D,,focus on form
72,Woman: How far is ___ to the bus stop?Man: Just a couple of blocks away.,it,that,this,there,it,A,,focus on form
73,"Man: What did you think of Paul’s girlfriend?Woman: I thought she was ___ nice, but she talks all the time.",much,quite,some,enough,quite,B,,focus on form
74,Man: These two coats look the same. Which one is yours?Woman: I think mine’s the one ___ the right.,to,in,for,on,on,D,,focus on form
75,"Girl: How often do you play football?Boy: Actually, I ___ play football.",often,never,always,usually,never,B,,focus on form
76,Man: Do you spell your name with ___ without an “e”?Woman: It’s Anne with an “e”.,or,for,but,and,or,A,,focus on form
77,Woman: Where did you ___ last night?Man: A new pizzeria in town.,go,been,went,going,go,A,,focus on form
78,"Salesperson: I’m sorry, were you waiting a long time?Customer: No, I’ve only been here ___ a few minutes.",since,from,for,in,for,C,,focus on form
79,"Woman: Did you and Sally go to the meeting last night?Man: No, ___ couldn’t go. Sally wasn’t well.",she,they,we,I,we,C,,focus on form
80,Man: What do you usually ___ in the evenings?Woman: I like to watch Netflix.,do,doing,done,did,do,A,,focus on form
81,"Man: ___ I speak to Mr. Brown, please?Woman: He’s not here, I’m afraid.",Would,Could,Do,Should,Could,B,,focus on form
82,"Girl: I thought it was a bit boring.Boy: Me too. The other team didn’t get the ball very much, ___?",are they,didn’t they,do they,did they,did they,D,,focus on form
83,"Man: Do you like Rosie?Woman: She’s OK but she doesn’t say much.Man: Yes, she’s a bit ___.",shy,silly,kind,calm,shy,A,,focus on form
84,Boy: What’s the homework for tonight?Girl: The teacher ___ us to revise the irregular verbs.,gave,told,spoke,talked,told,B,,focus on form
